Course Title	Restrictions	Prerequisites	Descriptions
HIST*3690 Darwin, Culture and Society Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 7.50 credits	This course will focus on the historical, social, and cultural dimensions of Darwin's theory of evolution, from the late 18th century to the present. Topics may include: natural history, classification, social Darwinism, race and imperialism, science & religion, science & literature, the eugenics movement, the Scopes trial, the modern evolutionary synthesis, sociobiology, gender, antievolutionism and creationism/intelligent design.
HIST*3700 Race and Immigration in North America Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 7.50 credits	This course explores the history of race and immigration in North America with an emphasis on Canada and the United States, beginning with early contact between Indigenous nations and Europeans and extending into the twenty-first century. The course will teach students about the historically changing nature of race and immigration through a variety of themes such as colonialism, slavery, gender, and politics.
HIST*3750 The Reformation Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 7.50 credits including HIST*1010	The changes in religious, social and cultural life in 16th century Europe will be discussed. This course will examine the impact of humanism, the developments in urban culture known as the Renaissance, the reform movements in central and western Europe, the Catholic response, and the resulting disintegration of the medieval social order.
HIST*3820 Early Modern France Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 7.50 credits	This course surveys French History from the Renaissance to the French Revolution. Students will examine the emergence of the powerful monarchy, 16th-century religious conflict and civil war, and the social, political and intellectual developments of the 17th and 18th centuries, which culminated in the 1789 Revolution.
HIST*3830 Modern Middle East Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 7.50 credits including (1 of HIST*1150, HIST*2890, HIST*3840, POLS*3060)	This course explores struggles for national independence in the region after 1919, the impact of the developing oil industry, the creation of Israel and the resulting Arab-Israeli conflict, the rise of American influence, the divisiveness of Cold War politics, and the role of women in contemporary Islamic societies.
HIST*3840 Ottoman Empire, 1300-1923 Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 7.50 credits	This course examines the rise of the Ottoman Empire in the 14th century, both in Europe and the Middle East, and traces its evolution until its demise in the 20th century. Students investigate the historiographical debates surrounding various aspects of writing Ottoman history.
HIST*3960 Experiential Learning for History  Students II Fall and Winter (LEC: 3) [0.50]	Restriction(s): Instructor consent required.	Prerequisite(s): HIST*3560	This course combines scholarly research and self-reflection with applied experience in a History-related workplace or simulated workplace environment. Students apply and develop their program-based historical skills and knowledge through in-class learning and a project with a local community partner organization. The project is designed to contribute to a public body of knowledge and improve students' skills for the workplace. This course is intended for students who have already taken HIST*3560, and wish to take a second Experiential Learning course under a different course code.
HIST*3980 Workplace Learning II Summer, Fall, and Winter [0.50]	Restriction(s): Instructor consent required.	Prerequisite(s): HIST*3480	An independent study course based on either History related voluntary or paid workplace experience. Evaluation will be based on assignments relating to work duties. These will usually be in the form of a weekly journal, and a major project relating to some specific aspect of the work experience. Students interested in this option must have their project approved by the department prior to the semester in which they plan to engage in their work experience. Students will then be assigned to a faculty supervisor who will oversee the project. This course is for students who have already completed a workplace learning course using the course code HIST*3480 and wish to do a second one.
HIST*4010 Gender and Culture Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course will examine how masculinity and femininity has been constructed in popular culture using newspapers, magazines, advertisements, films and novels. Careful attention will be paid to the intersections of gender, race and class. In addition to analyzing some outstanding texts in this field, students will have the opportunity to write an original essay on a topic of their choice.
HIST*4030 Historical Biography Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This advanced research seminar asks students to consider the role of the individual in history by reading theoretical works and examples drawn from the major schools of thought on this issue. Students will undertake to write a biography that will utilize primary sources and will include a detailed historiographical discussion of the works available on their chosen subject.
HIST*4040 Topics in Scottish History Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This is a seminar course dealing with selected aspects of Scottish social, economic and political history. The seminars will be based upon an examination of primary sources from the University library's extensive Scottish Collections, as well as secondary literature. Topics chosen will vary with expertise of the instructor. For information on the topic of a specific section, consult the History department website. https://www.uoguelph.ca/history.
HIST*4070 Experiential Learning: Research Summer, Fall, and Winter (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts. Instructor consent required.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course offers an opportunity for students to independently develop skills in the practice of historical research, such as working with archives, digitization, and database management. Students will work under the supervision of individual faculty members. Students must make arrangements with the faculty advisor well before course selection.
HIST*4080 Indigenous Resistance Writing and  Movements Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course explores both individual and collective acts of Indigenous resistance in settler-colonial societies. Diverse forms of resistance will be studied from text-based to action-based movements. Resistance may be examined through notable figures, delegations, marches, occupations, and literature.
HIST*4100 Africa and the Slave Trades Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000 level	This course will discuss the origins, character, and operation of slavery and the export slave trades in Africa. It will examine the interaction between domestic slavery and the export slave trades, on the one hand, and demographic, political, economic, social and cultural impact on African states and societies, on the other. Other themes to be examined include slave resistance in Africa, and abolition and the introduction of legitimate commerce and their impact on Africa.
HIST*4120 Topics in Global History Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course focuses on issues that emphasize the history of connections between different parts of the world. Topics may include the growth of the world economy; transformations of the global environment; trade and exchange; diasporas and migration. Topics chosen will vary with expertise of the instructor. For information on the topic of a specific section, consult the History department website. https://www.uoguelph.ca/history
HIST*4140 Sexuality in the Middle Ages Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including (1 of HIST*2000, HIST*2200, HIST*3020)	This course will provide a thematic approach to the foundations of western attitudes towards sex and sexuality as they developed in the European Middle Ages. It will examine the complex interweaving of Greek and Roman medicine, medieval Christian canon law and theology, and Germanic popular beliefs, which together provided the underpinnings of western values and practices pertaining to human sex and sexuality, with enduring results. The course will take an historiographical approach to topics and themes.
HIST*4160 Activism and Political Change in Canada Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including (HIST*2100 or HIST*2600)	This seminar examines Canadian political history through the lens of the social movements, interest groups and civil society actors that have sought to implement social and political change. Students will consider case studies of social movements focused on various political causes (such as the women's movement, organized labour, Indigenous rights, environmentalism, LGBTQ activism), paying attention to their strategies and tactics for accomplishing political change, their internal dynamics and mobilization of resources, their transnational dimensions, and their impacts on Canadian society.
HIST*4170 Exploration of Digital History Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History and/or Culture and Technology Studies at the 3000-level	This course is designed to introduce students to digital approaches, methods, and tools for examining the past. Students will learn to analyze historical texts, images, sounds, maps, and other media sources to investigate their own area of historical interest. This course will appeal to students in literature, history, fine arts, and music who want an introduction to state-of-the-art digital history research. There will be flexibility to accommodate the specific disciplines and interests of the students.
HIST*4180 American Identities Fall Only (LEC: 3) [1.00]	Restriction(s): HIST*4210. Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course analyzes how Americans have constructed and enacted identities in the U.S. as citizens and consumers through investigating concepts such as 'race', ethnicity, gender, sexuality, class, regional distinctions, and nationalism.
HIST*4200 Health, Mind and Body Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits, including 1.00 credits in History at the 3000-level	This is a seminar course which will explore the history of health, the body and the mind. Possible topics include: the history of athletics and physical fitness, the history of disability, the history of nutritional science and advice, the history of women's health, the history of disease, the history of mental illness, and the history of psychiatry.
HIST*4230 Histories of Travel and Tourism Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This is a seminar course exploring the history of travel and tourism. The seminar will discuss the political, social, cultural, and economic implications of tourism, mobilities, and the interactions of travelers and hosts. The historical development of the business of tourism will also be discussed. The seminar may focus on particular periods of history, tourism in specific locations, or particular aspects of the tourism industry.
HIST*4250 Topics in Environmental History Unspecified (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours or BAS program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits at the 3000-level in ASCI or HIST	This seminar in environmental history will discuss the historical relationships between humanity and the non-human world by analyzing their political, economic, social, cultural, and ecological implications over time. Topics will vary, but may include issues such as climate change, energy, animals, commodities, resources, food, colonialism, pollution, environmentalism, biodiversity, warfare, and science and technology.
HIST*4270 Topics in Modern Asia Winter Only (LEC: 3) [1.00]	Restriction(s): HIST*4900.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course will examine select topics in the development of Asian countries from the 18th to the 21st Century. Select themes including imperialism, nationalism, economics, society, and gender will be examined in a variety of Asian countries.
HIST*4280 Poverty and Policy in the Victorian Age Unspecified (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	Starting with the debates over the New Poor Law of 1834, this course will examine the changing content of the notion of poverty, and changing methods adopted to treat it. It will also look at the lives of the poor, in so far as these can be reconstructed from contemporary sources.
HIST*4450 Life, Death and Migrations Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including HIST*2450, and at least 1.00 credits in History at the 3000 level or above.	This seminar uses quantitative sources and methods to explore such themes as social inequality and demographic experience since 1800. It examines the value of such data for policy purposes, as well as the social and cultural contexts in which surveys are developed and undertaken. Students develop presentational and analytical skills through research projects.
HIST*4470 Special History Project Seminar I Summer, Fall, and Winter (LEC: 3) [0.50]	NONE	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course is designed to train honours students in the techniques of research, interpretation and writing of history. The student will choose a topic for intensive study in consultation with an instructor who has agreed to supervise their research. [Restriction(s):Restricted to History majors/minors with a minimum of 70% average in all History course attempts. Instructor consent required.]
HIST*4580 The French Revolution Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including (1 of HIST*2510, HIST*2820, HIST*3270, HIST*3820)	This seminar course provides an in-depth analysis of the French Revolution, 1789-1799, and the literature surrounding its interpretation.
HIST*4620 Seminar in Canadian Rural History Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including 1.00 credits in History at the 3000-level	This course will examine selected topics in the social and economic transformation of rural Canada with relevant comparisons to the rest of North America and elsewhere.
HIST*4700 Premodern History Winter Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits including HIST*2000 or HIST*2200	This course provides a detailed analysis of selected aspects of the Middle Ages from c. 1000 C.E. through the early modern period. Topics chosen will vary with expertise of the instructor. For information on the topic of a specific section, consult the History department website. https://www.uoguelph.ca/history
HIST*4820 Representations, Conflict and Politics  in the Middle East Fall Only (LEC: 3) [1.00]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts.	Prerequisite(s): 10.00 credits, (1 of HIST*2890, HIST*3830, HIST*3840, POLS*3060)	This seminar will examine select topics in the history, cultural representations, conflicts, and politics of the region known as the 'Middle East,' from the pre-Islamic to the modern era.
HIST*4970 Special History Project Seminar II Summer, Fall, and Winter (LEC: 3) [0.50]	Restriction(s): Restricted to students in the BA Honours program with a minimum of 70% average in all History course attempts. Instructor consent required.	Prerequisite(s): 10.00 credits including HIST*4470	This course is designed to train honours students in the techniques of research, interpretation and writing of history. The student will choose a topic for intensive study in consultation with an instructor who has agreed to supervise their research. It may be a continuation of HIST*4470 or a new research project.
HORT*1120 Grape and Wine Science Winter Only (LEC: 3) [0.50]	Restriction(s): HORT*3430. Not acceptable for students in the BOH, BSC, BSC(AGR) or BSC(ENV) programs.	NONE	This course will examine whole plant physiology as illustrated by the perennial system of a grapevine. Students will investigate all the primary functions of a green plant, with each function then related to a grapevine and how it functions in nature. Each function of the vine will be connected to the ultimate effects on fruit quality and by extension, wine quality throughout the course.
HORT*1130 Science of Gardening Fall Only (LEC: 3) [0.50]	Restriction(s): Not acceptable for students in the BSC, BSC(AGR) or BSC(ENV) programs.	NONE	This course examines the growth, development and physiology of horticultural species used for food and ornamental aesthetic purposes. The interaction between plants and impact of environmental factors as such as light, temperature, CO2 and humidity [on plant processes] will be emphasized.
HORT*2450 Introduction to Turfgrass Science Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): HORT*3220	Prerequisite(s): BIOL*1040 or [BIOL*1090, (1 of BIOL*1050, BIOL*1070, BIOL*1080)]	The biology, ecology, adaptation, and uses of cool-season and warm-season turfgrass species and cultivars will be introduced. Topics will include the identification and life strategies of different turfgrass species, principles of reproduction and techniques for establishment of turfgrass by seeding, sprigging and sodding. The ecology of management including mowing, irrigation, cultivation, mineral nutrition, repair and renovation, and management of stresses (thatch, weeds, insects, disease) will be covered. The turfgrass industry will be introduced, including application of ecological principles to athletic field management, sod production, golf course management, and professional lawn care.
HORT*3010 Annual, Perennial and Indoor Plants -  Identification and Use Fall Only (LEC: 2, LAB: 2) [0.50]	NONE	Prerequisite(s): 1 of AGR*2470, LARC*2240, 0.50 credits in Botany (BOT)	This course focuses on the identification and adaptation of annual, biennial, perennial herbaceous and indoor plants. Lectures will be integrated with outdoor laboratory activities to emphasize utilization of plant groups in park, perennial border, general landscape botanic garden and interiorscape settings.
HORT*3050 Management of Turfgrass Insect Pests  and Weeds Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): DTM*3300	Prerequisite(s): HORT*2450	Biology, behavior and impact of insect pests of turfgrass and recognition of symptoms will be emphasized. Identification and management of weed species commonly found in turfgrass will be discussed. Environmental impacts of cultural and chemical control techniques will be discussed for each group of pests and advances in chemical and biological control methods will be developed.
HORT*3150 Principles and Applications of Plant  Propagation Fall Only (LEC: 2, LAB: 2) [0.50]	Restriction(s): HORT*3230, HORT*3350	Prerequisite(s): AGR*2470 or BOT*2100	Plant propagation is the art and science of multiplication of plant material involving the application of the principles of plant growth and development and the techniques of mass production. This course will explore biological, commercial, environmental, and social dimensions of plant propagation systems with emphasis on global trends in the plant production industry.
HORT*3270 Medicinal Plants Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 1 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090	This course will focus on the application of recent biotechnology advances to elucidate the physiology, biochemistry, and conservation biology of medicinal plants for enhancing their efficacy in preventing and curing human disease.
HORT*3280 Greenhouse Production Winter Only (LEC: 3, LAB: 3) [0.50]	NONE	Prerequisite(s): 1 of AGR*2050, AGR*2470, BOT*2100	This course examines the principles and practices of production, culture and marketing of greenhouse flower and vegetable crops.
HORT*3310 Plants, Food and Health Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): BIOC*2580	The course provides an in-depth understanding of plants grown for food, spices and grains as they relate to humans in terms of disease prevention and health. Plants and their familial characteristics, the metabolic pathways characteristic to specific food types, and their effects on human physiology are discussed. Topics are introduced in the context of world food habits, plants as food and hot spots of healthy populations and their food customs.
HORT*3430 Wine-Grape Culture Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): AGR*2470 or BOT*2100	The history and impact of grape-growing in the New World will be presented and studied. Grape (Vitis) taxonomy (ampelography) and physiology will be studied as it relates to the Old World/New World wine growing. The physiology of fruiting and vegetative balance for managing wine quality in the vineyard will be studied in detail, especially as it pertains to cool climate and northern limit grape growing for premium wine quality. End product management and wine regions of the world will be examined.
HORT*3510 Vegetable Production Fall Only (LEC: 3, LAB: 3) [0.50]	NONE	Prerequisite(s): AGR*2470 or BOT*2100	The vegetable industry is examined at various scales of production, including conventional and organic systems. The major vegetable groups are surveyed based on their botany and physiology, and on all aspects of production and marketing. Contemporary issues in the vegetable industry are also addressed.
HORT*4300 Postharvest Physiology Winter Only (LEC: 3, LAB: 3) [0.50]	NONE	Prerequisite(s): AGR*2470	This course provides an examination and discussion of physiological and biochemical processes unique to postharvest development and deterioration. Principles and practices of storing fruits, vegetables, and florists' and nursery stocks as well as marketing pathways for horticultural crops will be considered.
HORT*4380 Tropical and Sub-Tropical Crops Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 1 of AGR*2470, BOT*2100, (AGR*2050, AGR*2150)	This course examines the production and utilization of tropical and sub-tropical crops in farming systems.
HORT*4420 Fruit Crops Fall Only (LEC: 3, LAB: 3) [0.50]	NONE	Prerequisite(s): 1 of AGR*2050, AGR*2470, BOT*2100	Growth patterns, fruiting characteristics and adaptation to environmental conditions of fruit crops in temperate regions will be presented. Classification, cultural practices including propagation and the physiological principles underlying these practices will be emphasized.
HORT*4450 Advanced Turfgrass Science Winter Only (LEC: 3, LAB: 2) [0.50]	NONE	Prerequisite(s): AGR*2050 or AGR*2470	This course emphasizes on plant stressors and physiological responses of plants to stress. Interactions between the soil system, the plant and the environment are considered, with focus on how soil physical, chemical and biological properties as well as environmental factors affect turfgrass plant health and physiology. Principles and strategies of biological control, cultural practices that affect plant health, pest life cycles and pest population levels are addressed in order to develop integrated management plans for turf aimed at reducing pest levels in an environmentally benign manner.
HTM*1070 Responsible Tourism Policy and Planning Fall Only (LEC: 3) [0.50]	Restriction(s): HTM*2170. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations or semester levels during certain periods. Please see the department for more information.	NONE	This course focuses on the various aspects of tourism policy, planning and development with a heavy emphasis on responsible choices. Tourism is reviewed in a global context and its role, both positive and negative, in socio-economic development, poverty alleviation, climate change, and other topics of current importance are explored.
HTM*1100 Introduction to Hospitality and Tourism  Management Fall Only (LEC: 3) [0.50]	Restriction(s): HTM*1070, HTM*1160, HTM*1700	NONE	This course provides students with an introduction to the many facets and issues facing the hospitality and tourism industries. An overview of the scale, scope, and sectors of hospitality and tourism will be examined and critiqued. An emphasis will be placed on the development and management of both physical and human resources and gaining an understanding of how businesses in these fields operate.
HTM*1160 Lodging Operations Winter Only (LEC: 3) [0.50]	Restriction(s): HTM*2100. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations or semester levels during certain periods. Please see the department for more information.	NONE	This course introduces the lodging industry with the inclusion of terminology, organizational structures, and departmental responsibilities. The current global structure of the lodging environment including an analysis of major organizations and forecasts, the future of lodging with a reliance on a critical analysis of existing studies, consulting reports, and up-to-date lodging news is covered. Decision-making from the role of a lodging manager is investigated with a focus on safety, security, profitability, and ethical management.
HTM*1700 Foodservice Management Fall Only (LEC: 3) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations or semester levels during certain periods. Please see the department for more information.	NONE	This course introduces students to the many facets of the foodservice industry in Canada. Emphasis will be placed on three areas of study; the foodservice industry and organizations, how foodservice relates to greater food systems and how issues in these areas effect the industry.
HTM*2030 Control Systems in the Hospitality  Industry Fall and Winter (LEC: 4) [0.50]	Restriction(s): Restricted to students in BCOM.HTM, BCOM.HTM:C, BASC.AHN, or the Restaurant and Beverage Management Minor.	Prerequisite(s): 4.00 credits	This is a study of the policies and procedures required to control food, beverage and other products, payroll and other operating costs. Areas examined include such topics as cost behaviour and analysis, menu analysis, budget preparation and the interpretation of data. The course will also stress the application of analytical techniques. Examples from all industry segments will be used.
HTM*2070 Event Management Winter Only (LEC: 3) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.	Prerequisite(s): 1 of HTM*1100, HTM*1160, HTM*1700, HTM*2020, SPMT*2020	This course takes a holistic approach to the sales, servicing and management of the meetings, events, conventions, exhibitions, and incentive travel industries. Emphasis is placed on both the supply (product and service providers) and demand (meeting and event managers) elements of the industry. The course focuses on the unique operational and managerial functions of a significant sector of the tourism and hospitality industry.
HTM*2700 Understanding Foods Fall and Winter (LEC: 3, LAB: 2) [0.50]	Restriction(s): This is a Priority Access Course. Restricted to students in BCOM.HTM, BCOM.HTM:C, BASC.AHN, or the Restaurant and Beverage Management Minor. Enrolment may be restricted to particular programs or specializations. See department for more information.	NONE	This course explores the chemistry behind food preparation, food safety and handling; and the impact of different cooking methods on the colour, flavour and texture of food. Students will apply knowledge by cooking and assessing a series of prepared products.
HTM*2740 Cultural Aspects of Food Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 2.00 credits	Students are provided with an opportunity to learn about numerous cultural factors that influence food selection, preparation, and consumption patterns. Food history, religions, geographic location and culture are studied to develop an understanding of the impact of these factors on food related behaviours.
HTM*3030 Beverage Management Fall Only (LEC: 2, LAB: 2) [0.50]	Restriction(s): Students must be of legal drinking age in Ontario. Restricted to students in BCOM.HTM, BCOM.HTM:C, or the Restaurant and Beverage Management Minor. This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.	Prerequisite(s): 9.00 credits	Students will examine the beverage industry, including bottled water, energy drinks, coffee, tea and alcoholic beverages. In addition to the laws regulating production, labelling and marketing of these products, the course discusses the active components of beverages and their impact on the human body, consumption risks and recommended uses.
HTM*3060 Lodging Management Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 9.00 credits including (HTM*2010 or MCS*2000), (HTM*1160 or HTM*2100)	This course explores the principles and practices of lodging management and related activities. Students will use a systematic approach to lodging front office operations by detailing the flow of hotel business. Topics include rooms forecasting, reservations, registration, occupancy & revenue management, account settlement, a computer-based property management system (PMS), guest relations, and interdepartmental relationships. The essential internal and external information of lodging properties and the industry will be also overviewed and analyzed through multiple-set of industry performance reports.
HTM*3080 Marketing Strategy for Hospitality  Managers Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 9.00 credits including MCS*1000, (HTM*2010 or MCS*2000)	This course focuses on major marketing decisions that hospitality managers face in generating and sustaining demand for their products and services through creating value for, and establishing strong relationships with their customers. Course content covers key elements of strategic marketing including, segmentation and target marketing, positioning and branding, pricing, promotions, personal selling, and distribution system decisions within the context of the hospitality and tourism industry.
HTM*3090 Restaurant Operations Management Fall and Winter (LEC: 2, LAB: 4) [1.00]	Restriction(s): Restricted to students in BCOM.HTM, BCOM.HTM:C, BASC.AHN_DIET, or the Restaurant and Beverage Management Minor.	Prerequisite(s): HTM*2030, HTM*2700	This course covers the application of managerial functions to restaurant and foodservice operations with the emphasis on teamwork and the principles of food production and service in a sustainable commercial restaurant setting. Students gain hands-on understanding of scheduling, purchasing, costing, nutritional analysis, and food safety while operating a student run restaurant.
HTM*3120 Service Operations Analysis Fall and Winter (LEC: 3) [0.50]	Restriction(s): FARE*3310. Restricted to students in BCOMM.HTM, BCOMM.HTM:C, BCOMM.SPMT, BCOMM.SPMT:C; BCOMM.SPMT:O	Prerequisite(s): (ACCT*1220 or ACCT*2220), (1 of ECON*2740, PSYC*1010, STAT*2040, STAT*2060, STAT*2080)	This course presents an overview of strategic analysis of operations management in service industries. Tools and concepts are introduced for planning and evaluating initiatives to support service design, productivity, and delivery. Topics include benchmarking, layout, location, productivity, service design, forecasting, project management, and yield management while further developing spreadsheet skills in analytical contexts.
HTM*3160 Destination Management and Marketing Fall Only (LEC: 3) [0.50]	Restriction(s): Restricted to students in BCOMM.HAFA, BCOMM.HAFA:C, BCOMM.HTM, BCOMM.HTM:C, BCOMM.SPMT, BCOMM.SPMT:C, BCOMM.TMGT, or BA.EURS Area of Emphasis in European Business.	Prerequisite(s): 1 of HTM*1070, HTM*2020, HTM*2170	This course examines the attractiveness of communities (urban and rural; domestic and international) for visitors and the implications that result from the development of a tourism industry. Methods to encourage visitation are explored as are the attempts to create and manage the development of the community and the tourism industry in a sustainable manner.
HTM*3180 Casino Operations Management Winter Only [0.50]	Restriction(s): This is a Priority Access Course. Some restrictions may apply during some time periods. Please contact the department for more information. Students must be legal age of 19 or over.	Prerequisite(s): (1 of BUS*2090, HROB*2090, HROB*2100, ACCT*2230)	This course examines the application of business management principles and procedures within casinos. Major topics include: the global and Canadian casino industries, regulation and control, casino accounting and statistics, casino marketing, security and surveillance, human resources, customer service, and specific casino operational management components.
HTM*3780 Managing Food in Canada Fall Only (LEC: 3) [0.50]	Restriction(s): FARE*3320	Prerequisite(s): 1 of FOOD*2010, HTM*1700, HTM*2700	This course examines management issues in the Canadian food system. Topics such as supply chain management, food legislation and regulation, food safety, consumer food-related behaviour, and food product development are studied from the perspective of managers in various organizations comprising the food system.
HTM*4050 Wine and Oenology Winter Only (LEC: 2, LAB: 2) [0.50]	Restriction(s): Students must be of legal drinking age in Ontario. Restricted to students in BCOM.HTM, BCOM.HTM:C or the Restaurant and Beverage Management Minor. This is a Priority Access Course. Some restrictions may apply during some time periods. Please contact the department for more information.	Prerequisite(s): 9.00 credits	This course provides students with knowledge about the wine industry and will emphasize knowledge about product, purchasing, pricing, and service.
HTM*4060 Advanced Lodging Management Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): HTM*3060	This course integrates knowledge and skills in lodging operation, restaurant management, marketing and sales, managerial accounting and finance, revenue management and human resources management. Students will formulate and implement strategic business plans and budgets and evaluate business performance utilizing a hotel simulation program. This course particularly emphasizes development of analytical decision-making and problem solving skills.
HTM*4080 Experiential Learning and Leadership in  the Service Industry Fall and Winter (LEC: 3) [0.50]	Restriction(s): HTM*3150. Restricted to students in BCOMM.HAFA, BCOMM.HAFA:C. BCOMM.HTM, BCOMM.HTM:C, BCOMM.SPMT, BCOMM.SPMT:C, BCOMM.TMGT. Instructor consent required.	Prerequisite(s): 14.00 credits and a minimum of 700 hours of verified work experience in the hospitality, sport and tourism industries.	An integration of the students' academic studies with their work experiences. Emphasis will be placed on applying and evaluating theoretical concepts in different working environments. Students will investigate the concept of workplace fit applying this to their prospective career path.
HTM*4090 Hospitality Development, Design and  Sustainability Fall Only (LEC: 3) [0.50]	Restriction(s): REAL*3890	Prerequisite(s): 14.00 credits including (1 of HTM*1000, HTM*1160, HTM*2020)	This course focuses on the development, design and management of the hospitality built environment. It explores issues related to the planning and development of hospitality and sporting event properties, provides an introduction to property and asset management as related to the hospitality and sport industry, and examines universal design as applied to the 'servicescape', all within the broad context of sustainability.
HTM*4110 Advanced Food Service Operations Winter Only (LEC: 1, LAB: 7) [0.50]	Restriction(s): This is a Priority Access Course. Some restrictions may apply during some time periods. Please contact the department for more information.	Prerequisite(s): HTM*3090	This course focuses on the management and operation of food service events. Emphasis is placed on event planning and creativity in menu formulation, operational performance, and guest satisfaction. This includes ambience, total service and the dynamic relationship between service and the product of food and beverages.
HTM*4130 Current Management Topics Unspecified (LEC: 3) [0.50]	Restriction(s): Instructor consent required.	NONE	Operating problems in the hospitality and tourism industry are analyzed and discussed using actual case studies. Students should check with the School of Hospitality, Food and Tourism Management to determine what topic will be offered during specific semesters, and which prerequisites, if any, are appropriate.
